epoch,train_loss,val_loss,val_f1
0,5.001613780071861,3.108925210105048,50.000421321176034
1,4.037209962543688,2.808058023452759,63.74697309630797
2,3.2199661606236507,2.817739109198252,66.603663003663
3,2.7840684683699357,2.7431365019745297,71.51915853883798
4,2.2711631106702903,2.610949913660685,77.61445775377665
5,1.9301469294648421,2.486808465586768,71.33894961226805
6,1.5329030407102484,2.447943541738722,78.70539775996899
7,1.5202953486066115,2.306241512298584,76.31927407972765
8,1.2576571138281571,2.066494451628791,78.60944043169106
9,0.9529116279200504,4.646217722031805,63.26799565412453
10,0.9129633613322911,2.4528135789765253,76.2385171996062
11,0.9955460727214813,2.718885494603051,72.66568782075122
12,0.8161922207004145,2.3528122438324823,78.79207212540547
13,0.9520803015483054,2.6411189834276834,80.14366219860725
14,0.7971377498225162,2.905056440167957,71.6961348344327
15,0.7130794446719321,3.040681411822637,71.99166507603232
16,0.7159418698988462,2.659240378273858,75.12664791329026
17,0.6124672783832801,2.5682273788584604,78.40130506036778
18,0.618164393070497,2.4099999335077076,77.57396893535507
19,0.5506686583945626,3.585495707061556,76.15127215127215
20,0.5836674731812979,2.9101163032982083,74.19833697514186
21,0.4811236591715562,2.278658154937956,80.27747252747254
22,0.5130163909573304,1.8185034924083285,81.40567765567766
23,0.4773998174228166,2.568107000655598,81.20392401368622
24,0.4785832809774499,2.879948428935475,78.56030389363721
25,0.4753306041422643,2.416561040613386,82.59253880295192
26,0.5330152939024725,2.103290710184309,81.86217948717949
27,0.4759783456592183,2.171804075439771,84.22054183440322
28,0.47872133200105865,2.547979068424967,77.75647067250713
29,0.4818154263653253,2.168784946203232,78.4607769681299
30,0.4876589320207897,2.2579249143600464,78.05247566069724
31,0.39862223949871567,2.1540985703468323,82.8281687585204
32,0.4469440422560039,2.2095764411820307,78.57730889566518
33,0.4326559622821055,3.0628683211074934,80.29612104218877
34,0.42464945759428174,2.004774605234464,81.06891446601489
35,0.40433709460653755,2.0356301069259644,80.57662165420787
36,0.37082553066705404,3.2637970878018274,79.95836882716286
37,0.3718645600111861,1.9133351842562358,81.89012328138561
38,0.38311691386135,2.290263487233056,81.00882513398159
39,0.31457002186461497,2.401381234327952,81.88644688644689
40,0.3843410446455604,2.1736212968826294,80.1350590172741
41,0.3251236383067934,2.878106666935815,81.03396888012271
42,0.4118318502840243,2.3016207681761847,77.92424186685305
43,0.3250827985374551,1.9769792126284704,77.7716932927017
44,0.33306392282247543,2.228340013159646,83.53375918730084
45,0.31097888770072085,1.6929941376050313,83.76045020685439
46,0.35094601543326126,1.9211455119980707,80.80905763508184
47,0.3225261506281401,1.7768013758791819,76.62941832251295
48,0.2880303549923395,2.0085254228777356,81.94655068898359
49,0.32212239229365397,2.101446168290244,82.68528578916565
50,0.29042115082081993,1.7421436773406134,82.11256286116999
51,0.2798238575066391,2.7420084815886288,83.59146266546736
52,0.3282726834479131,2.4104151411188974,79.58937481748725
53,0.3235044173504177,1.600211371978124,82.86353401107046
54,0.28289116468084485,2.4457710567447872,84.35780257611343
55,0.32833532636102875,2.4419723028937974,80.37129210658624
56,0.2783609285558525,1.817438496483697,81.94668154564884
57,0.2613099089970714,3.4164480045437813,82.759762162061
58,0.3186602282680963,2.5642461793290243,78.40577330031422
59,0.2698730383264391,1.7542644523912005,83.5889297265227
60,0.2607335491400016,2.0460721684826746,80.70499852523028
61,0.2820823647473988,2.896309168802367,81.0290583473831
62,0.25247871993403687,1.7375598384274378,86.65376766091052
63,0.2646789531174459,2.4990863684150906,84.12601021211633
64,0.24626074515675245,2.2492990030182733,84.11229456817692
65,0.21103797696138682,2.763375932143794,81.89720829021043
66,0.24741418698900625,1.8564627915620804,85.87953789061181
67,0.2833522781729698,1.824283488922649,85.96977907365891
68,0.22995970025658607,2.0730125225252576,85.78461538461538
69,0.23072339515937001,2.2022107218702636,81.065993337838
70,0.24604657390399984,1.7518885533014934,86.0368067930788
71,0.27626535237619754,2.006481922335095,81.78780782130345
72,0.21992751642277367,1.7385640525155597,81.74506801823206
73,0.21588542939800964,1.8310907408595085,84.26242282575231
74,0.2430506832897663,2.496074140899711,82.48948489168119
75,0.24570801265929876,1.7041137201918497,83.44860661664111
76,0.25162495006071894,1.637775311867396,85.92853464087324
77,0.22507542822706073,2.137800796992249,83.34675253627445
78,0.23993370838855443,1.5986454768313303,85.14727857459177
79,0.2186058593031607,1.6042344570159912,85.19971884315244
80,0.22414518186920568,1.5532880872488022,82.72849372849373
81,0.25186306630310257,1.9744985732767317,82.70415731970083
82,0.24865524843335152,1.8893542687098186,82.70785147969613
83,0.21763057418559728,1.997707934015327,80.35846454968578
84,0.1872737331217841,1.6989849656820297,84.37252775422475
85,0.22854951063269063,1.556259188387129,81.82765598945375
86,0.21376144611521772,1.798926399813758,81.04667617183263
87,0.1944243107971392,1.6042320299893618,84.26214152685172
88,0.1991563217812463,1.6099365949630737,85.80228108280915
89,0.20801418647170067,1.4636104736063216,84.14614811844893
90,0.20131710034451986,2.3833579743901887,80.31933450035721
91,0.20900260186509081,1.7664669122960832,85.12369682360045
92,0.1847631298005581,1.5301216575834486,81.18559601318222
93,0.1983738949424342,2.036559469997883,82.85377367168155
94,0.21716865779537903,1.7273557699388928,81.88644688644689
95,0.20056515873262756,1.5230078101158142,81.2121640735502
96,0.18678733314338483,1.6760163687997394,81.17614453753067
97,0.19819040145528943,1.6632607347435422,82.8098137863275
98,0.18824475493870282,2.6488703414797783,81.74975901291688
99,0.2449375979210201,1.7033674551381006,82.8222112932311
100,0.21678841172864563,1.4859349777301152,83.52628464890871
101,0.18762039471613734,1.6543307436837091,81.09493488321488
102,0.18818206055776068,2.080623653199938,80.96223874165051
103,0.18882718525434794,1.9839636418554518,81.04756283784418
104,0.2066153756489879,1.5341675877571106,81.26879314103552
105,0.18680553432357938,2.169438600540161,82.70467384278126
106,0.17381856414048294,1.581859956185023,81.34355606030796
107,0.19626891985535622,1.69982115427653,83.61796726140086
108,0.1822769459533064,2.5749743398692875,80.31640113567823
109,0.18806773757464007,2.0088604357507496,83.50784341895218
110,0.1771362843482118,2.133658746878306,82.7080508271596
111,0.16193677504595957,2.1693122453159757,82.64667126053266
112,0.1670117138051673,2.2570612165662975,80.20690605559493
113,0.19874683728343562,1.5862395564715068,82.8222112932311
114,0.17497524717136434,2.6644880730244846,81.89041031103224
115,0.20225860943135462,1.5268822949793603,84.41492905831873
116,0.1697133348176354,1.5850954701503117,85.06239316239316
117,0.19724443535271444,1.6245186916655965,80.99639061349048
118,0.16815841825384842,1.8193733162350125,84.3109892926863
119,0.19092955165787748,2.0123179389370813,84.30697637150027
120,0.20215201377868652,1.8022068705823686,85.27203472855648
121,0.18895744748021426,1.753387118379275,81.21497768505948
122,0.1768803594535903,1.574792151649793,83.55423065977664
123,0.18683492049182715,1.98143936196963,84.28891790277927
124,0.17173561591066813,1.7540796432230208,84.3020187431568
125,0.16074979815043902,1.7798763712247212,81.85053253335943
126,0.1888691110438422,1.9900272091229756,82.5956607495069
127,0.18291347542483555,1.9900367789798312,81.05049193103224
128,0.17800674607094966,1.4443377272950277,82.86396832980684
129,0.1607080874474425,1.508651077747345,85.3028293545535
130,0.15709319632304342,1.8275661485062704,81.08800364088941
131,0.16518408863952286,1.5561144881778293,84.32066272404595
132,0.19674110432204447,1.9683742473522823,81.84654611839079
133,0.15321545753824084,1.753797902001275,82.83936331603363
134,0.1601562068650597,1.8456738649143114,81.9297824783296
135,0.14627227579292498,1.6985940453079011,81.97963396174487
136,0.15759068884347616,1.7124209254980087,85.79036969563715
137,0.16706116124987602,1.8835558858182695,82.73387830971392
138,0.1670437713986949,1.8745154092709224,85.13063856914988
139,0.16236708803396477,1.6330801745255787,83.62325830091947
140,0.15686462996037384,2.119356138838662,81.8820240415898
141,0.14383940967290024,1.696014450656043,84.34019995406133
142,0.15853582302990712,1.697683064474,83.65420403351436
143,0.1534377971762105,2.234209527571996,81.02197773284678
144,0.144576388166139,2.04234605613682,83.56643095964176
145,0.1549754758414469,1.533313440779845,84.26615403099844
146,0.15574123886855026,1.772485958205329,84.46928175128981
147,0.1547846774521627,2.0040978673431606,83.55361631832218
148,0.1468753844107452,1.838669212328063,81.83694226290577
149,0.14436727428906843,1.7630829132265515,82.81844242713808
150,0.1389182286435052,1.5880438486735027,85.02684458398745
151,0.1601895307631869,2.2590284306142063,82.5111961944541
152,0.1672327183187008,1.8628186351723142,83.41719757127558
153,0.1663095198179546,2.1301453279124365,81.04667617183263
154,0.17139255314281113,1.547526220480601,82.07962210767259
155,0.16316908146989972,1.8643750250339508,84.28043872763344
156,0.15735355509739174,1.7333786595198843,83.44688995999738
157,0.15934950466218747,1.6734024965100818,80.42036124794745
158,0.1618748601329954,1.8752640055285559,81.8241298930954
159,0.15366350349627042,1.9906746248404186,78.81344933528584
160,0.16586809252437792,1.8786116871568892,81.21497768505948
161,0.1440749938942884,2.124569296836853,83.4857199229331
162,0.15969681092783025,2.0557561384307013,84.26347601505621
163,0.13299777456804326,1.6941928068796794,84.39305816135085
164,0.1532579755508586,2.070038696130117,83.4857199229331
165,0.1532723023311088,1.7727754364411037,81.25084768299979
166,0.14949441524712662,1.941944635576672,81.92287145868151
167,0.1469633365540128,2.0464467389716043,84.29760459530904
168,0.1417550243633358,1.6467326780160267,82.80012740882306
169,0.14892366332443138,1.943253055214882,81.82995509673088
170,0.14465673522729622,1.7531947626007929,81.06245747959035
171,0.1375590340283356,1.585699458916982,82.01416605922239
172,0.1562915186544782,1.98048035800457,84.35576923076923
173,0.1426756028085947,2.0498899949921503,81.87621949008089
174,0.1414217721474798,1.8312791585922241,82.65751704058735
175,0.13739568044088388,1.72399722205268,79.54243749561475
176,0.13251729927172787,1.974576814307107,81.82707409402093
177,0.14705906475060865,2.3972587204641767,81.87259634809784
178,0.15092729404568672,1.6417607085572348,82.81952125537548
179,0.13677121581215607,1.6277904245588515,83.70218343747756
180,0.1480669269436284,1.557898638976945,81.2091990483743
181,0.14766234571212217,1.584599985016717,82.98248434954121
182,0.15927109916351342,1.5587816072834864,82.66015657354329
183,0.13166307030539764,2.5740716697441206,80.218777751492
184,0.13521251798068223,2.22360116077794,80.98428720600668
185,0.13606437119214157,2.019519983066453,84.30098157968737
186,0.14115194995936595,1.8084589739640553,82.7080508271596
187,0.1551093074836229,1.7198353856801987,81.96680428005727
188,0.13562682898421036,1.7446112251944013,81.21360751535785
189,0.14614486910010638,1.6385523875554402,81.96480643539468
190,0.142389546099462,1.677319606145223,81.1747069355765
191,0.13954172597119682,1.6637003438340292,82.84740178900982
192,0.12313332369453028,1.7197896159357495,80.25215983277315
193,0.14130115685494324,1.653611562318272,80.23853518296875
194,0.12354052919698388,1.99060747689671,81.04667617183263
195,0.13702770949978577,1.5736355483531952,79.00627503779415
196,0.13174436564900374,1.8097705129120085,85.86638364691169
197,0.15839732654000582,2.3372183442115784,81.84206818822203
198,0.15985198867948433,1.7726741201347775,82.65751704058735
